identifier,a_repeat_senior,repeat_senior,total
S00261,2,8,10
S00667,2,8,10
S01361,2,8,10
S01995,2,8,10
S02110,4,8,12
S02551,2,8,10
S02729,2,8,10
S02834,2,8,10
S03169,2,8,10
S05519,2,8,10
S05701,2,8,10
S05842,2,8,10
S06110,2,8,10
S06240,2,10,12
S08385,2,8,10
S09356,0,2,2
S09835,2,8,10
S09842,2,8,10
S10436,2,0,2
S10663,2,8,10
S11049,2,8,10
S11512,2,8,10
S12806,2,8,10
S13422,2,8,10
S13518,2,8,10
S13854,2,8,10
S14207,2,8,10
S14688,2,8,10
S15008,2,8,10
S15176,2,8,10
S15537,2,8,10
S16409,2,8,10
S16782,2,8,10
S18011,2,8,10
S18325,2,8,10
S19394,2,16,18
S19670,2,8,10
S19777,2,8,10
S19869,2,8,10
S19992,2,8,10
S20096,2,8,10
S20752,2,8,10
S20968,2,8,10
S21402,2,8,10
S21758,2,0,2
S21853,2,8,10
S22692,2,8,10
S23159,2,8,10
S23191,2,8,10
S23593,2,8,10
S24008,2,8,10
S24454,2,8,10
S25273,2,8,10
S25668,2,8,10
S25930,2,8,10
S25936,2,8,10
S2602011915,2,8,10
S2602011929,2,8,10
S2602020938,2,8,10
S2602021043,2,8,10
S2602021154,3,8,11
S2602021237,2,8,10
S2602051202,2,8,10
S2602051228,2,8,10
S2602051257,2,8,10
S2602051327,2,8,10
S2602081408,2,8,10
S2602081431,2,8,10
S2602090928,2,8,10
S2602091009,2,8,10
S2602091050,2,8,10
S2602091159,2,8,10
S2602091240,2,8,10
S2602121120,2,8,10
S2602121158,2,8,10
S2602121204,2,8,10
S2602121246,2,8,10
S2602121309,2,8,10
S2602161507,2,8,10
S2602161528,2,8,10
S2602162122,2,8,10
S2602171109,2,15,17
S2602171213,2,8,10
S2602182022,2,8,10
S2602182029,2,8,10
S2602201803,2,8,10
S2602201818,2,8,10
S26719,2,8,10
S26758,2,8,10
S27205,2,8,10
S27860,2,8,10
S28024,2,8,10
S29329,2,8,10
S30979,2,8,10
S31176,2,8,10
S31278,2,0,2
S31547,2,8,10
S31623,2,8,10
S31778,2,8,10
S32137,2,8,10
S32298,2,8,10
S32521,2,8,10
S33049,2,8,10
S33167,2,8,10
S33838,2,8,10
S34271,2,8,10
S34818,2,8,10
S35045,2,8,10
S36177,1,0,1
S36558,5,8,13
S38118,2,8,10
S39809,2,8,10
S40142,2,16,18
S40491,2,8,10
S40906,2,8,10
S41966,2,8,10
S43153,2,10,12
S43354,4,16,20
S43518,2,8,10
S44069,2,8,10
S44481,2,8,10
S44574,2,8,10
S45192,2,8,10
S45309,2,8,10
S45311,2,8,10
S45446,2,8,10
S45893,2,8,10
S46137,2,8,10
S46439,0,1,1
S47182,4,8,12
S47404,2,8,10
S47959,2,8,10
S48210,3,9,12
S48640,2,8,10
S49003,2,8,10
S49554,2,1,3
S49620,2,8,10
S49889,2,8,10
S50037,2,8,10
S51286,2,8,10
S51674,2,8,10
S52125,2,8,10
S52240,2,8,10
S52534,2,8,10
S52574,2,8,10
S53247,2,8,10
S53336,2,8,10
S53397,2,8,10
S53432,2,8,10
S53765,2,8,10
S54478,2,1,3
S55144,3,8,11
S55332,2,8,10
S55611,2,8,10
S56822,2,8,10
S56955,2,8,10
S57058,0,1,1
S57123,2,8,10
S57751,2,8,10
S57791,2,8,10
S57796,2,8,10
S58529,2,8,10
S58875,2,8,10
S59552,2,8,10
S59736,2,8,10
S59799,2,8,10
S60770,2,8,10
S60789,2,8,10
S61773,2,8,10
S62478,2,8,10
S62786,2,8,10
S63214,2,8,10
S64143,3,0,3
S64166,2,8,10
S64524,5,8,13
S64579,2,8,10
S64671,2,8,10
S65228,2,8,10
S65542,2,8,10
S65624,2,8,10
S65660,2,8,10
S65997,2,8,10
S66388,2,8,10
S66728,2,8,10
S67401,2,8,10
S67611,2,8,10
S67803,2,8,10
S67805,2,8,10
S68065,2,8,10
S68495,2,8,10
S68803,4,8,12
S69479,2,8,10
S69677,2,8,10
S70154,2,8,10
S70248,2,8,10
S70600,2,8,10
S70986,2,8,10
S71083,2,8,10
S71394,2,8,10
S72817,2,8,10
S73118,2,8,10
S73518,4,8,12
S74084,2,8,10
S76724,2,8,10
S77085,2,8,10
S77645,2,8,10
S77778,2,8,10
S77841,3,8,11
S77950,4,8,12
S78380,2,9,11
S78704,2,8,10
S78725,2,8,10
S79422,2,8,10
S80783,2,8,10
S80901,4,16,20
S80934,2,8,10
S80979,0,1,1
S81438,2,8,10
S82437,2,8,10
S82501,0,1,1
S82886,2,8,10
S83248,2,8,10
S85068,2,8,10
S85167,2,10,12
S85515,2,8,10
S85546,2,5,7
S85610,2,8,10
S85618,2,8,10
S85697,2,8,10
S87305,2,8,10
S88812,2,8,10
S89651,2,8,10
S89745,2,8,10
S90046,2,8,10
S90354,0,1,1
S90393,4,8,12
S90695,2,8,10
S91817,2,8,10
S92521,2,8,10
S93076,2,8,10
S93129,2,8,10
S93455,2,8,10
S94097,2,8,10
S95052,2,8,10
S95368,2,8,10
S95852,2,8,10
S97255,2,8,10
S97883,2,8,10
S99363,2,8,10
