identifier,task_type,task_description,item_index,item_text,session_id,created_at,json_path,audio_file
S02110,a_repeat_senior,아 반복 발음 과제 (어르신),,,session_1765019465052_lliakjqnti,2025-12-06T11:11:05.106633+00:00,media/audio/senior/S02110/681b8b4df1d8484ab206ec1cf2f76426.json,audio/senior/S02110/681b8b4df1d8484ab206ec1cf2f76426.wav
S02110,repeat_senior,퍼터커 반복 발음 과제 (어르신),4,커,senior_repeat_1765019625561_wdak6fhwu,2025-12-06T11:13:45.573473+00:00,media/audio/senior/S02110/390faacdbc7847abaad88534c1fa74e5.json,audio/senior/S02110/390faacdbc7847abaad88534c1fa74e5.wav
S02110,repeat_senior,퍼터커 반복 발음 과제 (어르신),2,터,senior_repeat_1765019546716_g374onip1,2025-12-06T11:12:26.723411+00:00,media/audio/senior/S02110/8e0f8919e50b4b1bbed6f0c9de0b2d7f.json,audio/senior/S02110/8e0f8919e50b4b1bbed6f0c9de0b2d7f.wav
S02110,repeat_senior,퍼터커 반복 발음 과제 (어르신),0,퍼,senior_repeat_1765019519150_sfugv3ks0,2025-12-06T11:11:59.167017+00:00,media/audio/senior/S02110/7ab0bf17981c40229b6f58b9e8d0e878.json,audio/senior/S02110/7ab0bf17981c40229b6f58b9e8d0e878.wav
S02110,repeat_senior,퍼터커 반복 발음 과제 (어르신),5,커,senior_repeat_1765019636823_bz4f68or5,2025-12-06T11:13:56.830249+00:00,media/audio/senior/S02110/65f5c8f84b9040e286e8f7d1279af0f8.json,audio/senior/S02110/65f5c8f84b9040e286e8f7d1279af0f8.wav
S02110,repeat_senior,퍼터커 반복 발음 과제 (어르신),3,터,senior_repeat_1765019610240_fyjoee0ve,2025-12-06T11:13:30.231322+00:00,media/audio/senior/S02110/e6d95abcfa13430fa96efc8bccef63dd.json,audio/senior/S02110/e6d95abcfa13430fa96efc8bccef63dd.wav
S02110,a_repeat_senior,아 반복 발음 과제 (어르신),,,session_1765019402495_f7w3e951si,2025-12-06T11:10:02.503412+00:00,media/audio/senior/S02110/ea52c244d3524fe0b2958cdb295d9eec.json,audio/senior/S02110/ea52c244d3524fe0b2958cdb295d9eec.wav
S02110,a_repeat_senior,아 반복 발음 과제 (어르신),,,session_1765019378768_mn4c4lfyba,2025-12-06T11:09:38.969979+00:00,media/audio/senior/S02110/a8efd7e2cd3747be9dedfa63c94617ed.json,audio/senior/S02110/a8efd7e2cd3747be9dedfa63c94617ed.wav
S02110,a_repeat_senior,아 반복 발음 과제 (어르신),,,session_1765019496548_p7gziihgrm,2025-12-06T11:11:36.546667+00:00,media/audio/senior/S02110/74d7e48039e64b82941fec4454841215.json,audio/senior/S02110/74d7e48039e64b82941fec4454841215.wav
S02110,repeat_senior,퍼터커 반복 발음 과제 (어르신),7,퍼터커,senior_repeat_1765019676452_08tdhv6x5,2025-12-06T11:14:36.469603+00:00,media/audio/senior/S02110/042767f5ac5a4c7f8be285418d4a496e.json,audio/senior/S02110/042767f5ac5a4c7f8be285418d4a496e.wav
