폴더	파일	duration_sec	duration	1분미만
S00261	ca394130bf264e268627cc409ad0e3e9.wav	90.349	01:30	
S00667	35ef596c53ed4fdea35c02b6bb130290.wav	80.457	01:20	
S01056	9a15dd507e1f4e3fbf7d351cabb4eef3.wav	4.435	00:04	Y
S01995	1f2c2db6ab8a4397926aa6794606159f.wav	90.813	01:31	
S02110	43947b2f866f411fb6dd6689a8ce8b43.wav	77.810	01:18	
S02551	8ff277ae28c848f2b6c661dbc24e8757.wav	92.369	01:32	
S02729	717e332251e6442891f4e2e74954902b.wav	27.841	00:28	Y
S02834	a4a24c388a0c46f483c48693e9ead5b6.wav	92.717	01:33	
S05701	69808434b72c4045b969222cfd5d0f46.wav	97.779	01:38	
S05842	8f334e53961c4b4ba7644f020268c4fc.wav	96.084	01:36	
S06110	59c17e1bf4b14dacac479dedf3db56d9.wav	106.138	01:46	
S06240	d7aeeea512a149fe8f08c51b49d2ec72.wav	102.632	01:43	
S08385	5e7ae53ab2d0474f82f8389eb934d2da.wav	79.737	01:20	
S09835	4a79ea46aee64c82a427f81158f5b2d0.wav	115.148	01:55	
S09842	0b0dbfcc0f2c4f0cb0c835a6484e6b0e.wav	89.513	01:30	
S11049	5edb123794d343c9b3f7725f18c74d3d.wav	81.177	01:21	
S11512	d8b1554022fe4adfb1e81089cfb49383.wav	77.090	01:17	
S12806	8e357c7f688c4f3095c0f2c017bce8f4.wav	83.731	01:24	
S13422	cece90378aae4c77981e86d15b27aa5b.wav	102.493	01:42	
S13518	f1cabe7172f3426b8907fe274eeaf5fc.wav	164.676	02:45	
S13854	f146296559f740b4b78c3df88a2c2a2b.wav	100.171	01:40	
S14207	9ac8098379d04892abb7692042b2ab9f.wav	95.039	01:35	
S14688	2f0a05950aae4e03b918869f089008e7.wav	101.378	01:41	
S15008	93225924a46b40e987cf4e0e898c11fe.wav	106.626	01:47	
S15537	b26e29ef0ff249f98dfe6ba5449082f5.wav	137.880	02:18	
S16782	7ddee63514f14d53b2f4d585b415a452.wav	102.237	01:42	
S18011	10c19ec141fb4b5a983a325677d9b39c.wav	134.374	02:14	
S18325	72891a29f00d46e48806934dd0c7e42e.wav	103.979	01:44	
S19394	8c16d69080e94d088e491f57b42d1b3b.wav	78.112	01:18	
S19670	2a7c0074fd134c7f998cdf7f683e6733.wav	92.578	01:33	
S19777	c985b3cea255462c8a921142fa4f9144.wav	80.643	01:21	
S19869	d8b9391baee142aeb6bcd616650a8a53.wav	128.128	02:08	
S19992	6f951b661ac44d79ab8acfb3a7711d61.wav	94.621	01:35	
S20096	8f1340150cf044f8ac42d214f525eb5e.wav	87.493	01:27	
S20752	82d180606b234507a26d34082a8a53f7.wav	86.912	01:27	
S20968	d22af531ed3c4815a19a6510d3529c44.wav	98.151	01:38	
S21402	75b4e9bf5b0c4afcb9d4f20455ebf3a9.wav	0.488	00:00	Y
S21853	ab5ba8ee644241a3a551d6884e293018.wav	76.556	01:17	
S22692	4f2cbe776a2448a3a9771d93a134fd0a.wav	97.175	01:37	
S23159	973e1782176845f4bc8a0b2dae8b1a02.wav	98.638	01:39	
S23191	60e31ad85f8945838a8469390f0f0c50.wav	83.197	01:23	
S23593	e1a592b7e2ae4d399771424cd2533e98.wav	80.178	01:20	
S24008	1f10fcc3047443429c00b5e4fe3758ac.wav	105.210	01:45	
S24454	0fec62a425984218b956c7c5b06b6385.wav	81.781	01:22	
S25273	082247704f1042ada181913b82a91498.wav	94.598	01:35	
S25668	021b7f505f194f5d88e445c621334ae5.wav	77.322	01:17	
S25930	fcbee00de391420b93f045053312fc8a.wav	85.728	01:26	
S25936	aa27eedb4f1d4f77aa537914b5d3dff6.wav	73.909	01:14	
S2602011915	86039ddee91d4e189364e21a87489f9d.wav	47.624	00:48	Y
S2602011929	637d191f97894b44af80e4465e2a927d.wav	3.506	00:04	Y
S2602020938	d00ecdef015f49e98df0147acc44855f.wav	113.940	01:54	
S2602021043	ae91d5d5831d42d1a8ca8a85dcd26aa7.wav	81.409	01:21	
S2602021154	8044cd3904e54a4d9ae62f4872c192c6.wav	96.781	01:37	
S2602021237	ec449be2fa7c48f2a60daa726aed9375.wav	110.202	01:50	
S2602051202	ab999af14d9d47feabdb95517d1fced6.wav	60.372	01:00	
S2602051228	6d74b58af2844854a3765b9e8a16ea4a.wav	97.640	01:38	
S2602051257	7ee1659e6d094c298691c5b2c6cb1782.wav	77.648	01:18	
S2602051327	05ac8bac30354d349e092c76c61878c3.wav	100.055	01:40	
S2602081408	37d4df2e3f764a9485d6ff1e85d4ab50.wav	100.751	01:41	
S2602081431	b0013e97d20c4c979c922910cd5cec16.wav	92.671	01:33	
S2602090928	bca5189432c24681a43ed58d40d29239.wav	117.238	01:57	
S2602091009	4cfeb6b52a6c46b5b82ef7b9a436b474.wav	225.373	03:45	
S2602091050	bd60e55dd67c4e338dcd55e3b4c6623d.wav	85.705	01:26	
S2602091139	7fda1dc9f2524d029402acb0b3377d32.wav	88.816	01:29	
S2602091159	ca4dd155e9f44713b0a3525952c7fe09.wav	106.301	01:46	
S2602091240	0f82605f8a774676b5f6531e7aa3b6f8.wav	71.935	01:12	
S2602121120	e92f66319a644d919fe773941f21f27c.wav	162.795	02:43	
S2602121158	548ae349035349c18738cffa4392e1ad.wav	119.049	01:59	
S2602121158	b466053b8c184579a99c67c0e9f0d9e4.wav	31.602	00:32	Y
S2602121204	796357e138df4f71aec0e12bd0539690.wav	75.140	01:15	
S2602121246	d384c9256954407b8666b5a685b9a8d0.wav	100.241	01:40	
S2602121309	11ee1f09d1404cc0aea7c280c5493642.wav	136.232	02:16	
S2602161507	bdf21fdb146f486399a6cbd1d56ad8b6.wav	79.482	01:19	
S2602161528	b1945fba35da400ea2e5556870faad33.wav	124.598	02:05	
S2602162122	afaf15d2620143d8bf459ab353f3760d.wav	91.905	01:32	
S2602171109	6d1ae6367787412698616d1eef201253.wav	88.793	01:29	
S2602171213	e503964a43704997a84636d13781c032.wav	91.579	01:32	
S2602182029	77a3b51567d044faab0bfa1b3a416a2f.wav	89.699	01:30	
S26758	a56ad4f702e04d81840d657979b0103f.wav	82.477	01:22	
S27205	72bb20d45bbb4bc6acd278585f740a45.wav	7.314	00:07	Y
S27860	c9136b288bfd46f59682740da597d98a.wav	98.894	01:39	
S28024	4f4df9983f54454782a8d9090be84e6d.wav	81.618	01:22	
S29329	1c07144f93b34c71a48622d568c7d8a7.wav	124.320	02:04	
S30979	6f1249593b13497aaf9fc37bd022e4f6.wav	94.250	01:34	
S31176	9ce7ad9900014619b12f56556d888d0a.wav	91.579	01:32	
S31547	cf656ab8437244db9828fd2ca73cd173.wav	87.818	01:28	
S31623	a138c101c471433dbff1999017d1f327.wav	104.118	01:44	
S31778	b28a13320d6d4808a0d066ec6b943e1f.wav	93.739	01:34	
S32137	06d63789050743c68babb0fd6e86a26b.wav	97.663	01:38	
S32298	86444322e6b847dc94afc78d2cf5e9cb.wav	66.548	01:07	
S32521	790206b55d8e45bf8e73d11f28a53edf.wav	102.028	01:42	
S33049	a23bf43f988140cb9beedcd87ba9a723.wav	100.659	01:41	
S33167	b889bd9cc8354d43af124047ea8d11c0.wav	108.205	01:48	
S33838	9aefb9bff28c4f358361fd4340397d90.wav	82.988	01:23	
S34271	06af496ed7cb4d59a0789e019d698084.wav	120.442	02:00	
S34818	77f5d6fa336e4cc686a91676f4712433.wav	107.555	01:48	
S35045	9c09bd8bba0e406498f1a64da300d1c0.wav	74.420	01:14	
S36558	a6cde125afef4c0388c0a7ed06e107b8.wav	101.053	01:41	
S38118	f97c323105e7415a9dbe828afb7e6d54.wav	103.933	01:44	
S39809	07ac717b610f4de4b82909fd4d23fbcd.wav	84.219	01:24	
S40142	5c7b6b34e0654615835e652c6c53b605.wav	100.380	01:40	
S40491	1972a721601a4f9a8a9bf56f1a2a7eac.wav	95.898	01:36	
S40906	da9dad48ab994c2daff274e95079a103.wav	92.857	01:33	
S41966	eefe5a5b7a6f4b688f912dc304c72a16.wav	102.679	01:43	
S43153	5f94acc0d7334794a613b28af751a55c.wav	95.272	01:35	
S43354	1028a78e7c6e487db1da7112a968715b.wav	88.538	01:29	
S43354	d7f752107bd14ef08c97d17bade1009e.wav	91.022	01:31	
S43518	3d50cbbf672c4facaa3cb83617fe4bd7.wav	88.120	01:28	
S44069	a65f1d9a22ae428d995a4443c0b0c915.wav	87.748	01:28	
S44350	546099d85ab044cca510d516ed87fb65.wav	31.881	00:32	Y
S44481	e672d54d69cf4f55ac64e0cfb3ed2068.wav	92.439	01:32	
S44574	c35568c58022422895ac7f6c9d80eea3.wav	95.364	01:35	
S45192	2104050d9ac24275bed60689b3064247.wav	84.079	01:24	
S45309	934b0f2e3b9741eb91a8a75e35dc3f5f.wav	94.737	01:35	
S45311	684e2e846c7645498ab589f93c9fa91f.wav	111.781	01:52	
S45446	196fd12c6fc44dfe892a408102dc583c.wav	76.278	01:16	
S45893	2a0b0e54bf684432b5f73fc40c0eb073.wav	103.352	01:43	
S46137	c9379f0bf5b04cfbba04b18f9756225d.wav	108.251	01:48	
S47182	6190fbe41b124e67aa47f6a23b3a8d6e.wav	41.215	00:41	Y
S47182	a76037517ef8413aad3100fc0e939cdf.wav	96.525	01:37	
S47404	cc7b73d34f2540f9a4e8a8f41826c1d6.wav	99.080	01:39	
S47959	5ded476420114453b6d27bd7813af3ce.wav	72.028	01:12	
S47959	820d37b1a4414db495fe30a5ad1f94dd.wav	26.819	00:27	Y
S48640	e7b31beb44944c6d975a39a50a4fc625.wav	68.870	01:09	
S49003	99a53fd12c4443d68068dfed7a5f13ca.wav	95.318	01:35	
S49420	f92d7873e1794e4da26fe8dfd7e86e75.wav	93.042	01:33	
S49554	9f4a4f9e5e2345849dbc66c45cca4af9.wav	3.019	00:03	Y
S49620	45fd3cd5b2be4086b2c7b7220ab837f6.wav	141.665	02:22	
S49889	3486f5f4cef147b99cc741f9208b8bed.wav	96.572	01:37	
S50037	dc5828592adb4619ba91d3fb27e9bb70.wav	86.378	01:26	
S51286	570dbed6014f4ed0bb3da3966162ef8d.wav	82.988	01:23	
S51674	6dc48ad9ad434343a6afa7f159ff5783.wav	93.600	01:34	
S52125	92ce839040c842d4ae152fb378b637cf.wav	87.098	01:27	
S52240	52523ad740484c01bbb001044a1aecb6.wav	80.597	01:21	
S52534	ce2d6cfd76cf4269bec4bf4fc982799f.wav	122.857	02:03	
S52574	e3700270867248e085cbc1aa36e20019.wav	144.939	02:25	
S53247	493cc447b0244434b7264bef7ac1d1f8.wav	28.189	00:28	Y
S53247	5ec358ef72dc43c5a6b66a738296ee17.wav	79.598	01:20	
S53336	8c3aaebb1db2442fbd5d78b7cb845c76.wav	115.403	01:55	
S53432	07d92899f10547138870a99dd2adadf8.wav	90.999	01:31	
S53765	988208239eef4850b6500c8ec5f5b356.wav	81.734	01:22	
S55144	9556c190d81c4aec88e59ae0ab9f61b7.wav	96.107	01:36	
S55332	f4c1af3414f84705bf465465306b87ba.wav	102.888	01:43	
S55611	11249789a57b47c8b079b3f1d8e366ab.wav	69.079	01:09	
S56822	a9a0817c2b2243ccb8839da11686b78b.wav	102.981	01:43	
S56955	fe04bce105024ff2b8168da6054ed106.wav	108.739	01:49	
S57058	3b20cd02c4554d1b808bcb21cf3b201a.wav	98.058	01:38	
S57123	a086d5e606604000879da594d0106ed7.wav	89.815	01:30	
S57751	a1c896ca419e40f58cdc0760ec385d6b.wav	87.795	01:28	
S57791	d7f4ef07f0a941d3bb274449d97f413f.wav	95.086	01:35	
S57796	3791d5de0a414fffa2e1428976a01b08.wav	77.903	01:18	
S58529	2840df82a28249268f124cc7d7079ddc.wav	89.606	01:30	
S58875	26952efbe06548b98e698522132959c1.wav	83.383	01:23	
S59552	a55e0cef0e7c48b49e20169ee3240f12.wav	78.019	01:18	
S59736	cbfb2952ec16463c868b19975985870f.wav	106.510	01:47	
S59799	ec72eae62fee4621899c72627be91a86.wav	84.730	01:25	
S60789	72549fbeaa9e45b8abd5280fa56ae24a.wav	101.378	01:41	
S61773	ba44171eb10245bd91e6ab2b51454274.wav	103.097	01:43	
S62478	c689344cfce549dda35d230f33ae5c7d.wav	88.677	01:29	
S62786	2e139e5721254eaabf309eba9b2cc5c5.wav	83.197	01:23	
S63214	2122cb25c6a142a9a5b3e1438bdef5d2.wav	93.878	01:34	
S64166	31058667db124472b6861c49b4142444.wav	105.581	01:46	
S64579	904336c2137540d98f3c1b6a6a96e6cd.wav	124.041	02:04	
S64671	f2f14ae03e7b4f519a10f771d3f1403d.wav	87.586	01:28	
S65228	324abcc463ba48ca907ad165ce7bbeb5.wav	71.959	01:12	
S65624	cae11f6866824defaaa651f1e8622d43.wav	80.411	01:20	
